symbol,industry,in_our_universe
BAJAJ-AUTO,2/3 Wheelers Companies,1
BAJAJCON,Personal Care Companies,1
BAJAJELEC,Household Appliances Companies,1
BAJAJFINSV,Holding Company Companies,1
BAJAJHCARE,Pharmaceuticals Companies,1
BAJAJHFL,Housing Finance Company Companies,1
BAJAJHIND,Sugar Companies,1
BAJAJHLDNG,Holding Company Companies,1
BAJAJINDEF,Industrial Machinery Companies,1
BAJEL,Heavy Electrical Equipment Companies,1
BAJFINANCE,Non Banking Financial Company (NBFC) Companies,1
BALAJEE,Packaging Companies,1
BALAJIPHOS,Fertilizers Companies,0
BALAJITELE,Media & Entertainment Companies,1
BALAMINES,Specialty Chemicals Companies,1
BALAXI,Pharmaceuticals Companies,0
BALKRISHNA,Packaging Companies,1
BALKRISIND,Tyres & Rubber Products Companies,1
BALMLAWRIE,Diversified Companies,1
BALPHARMA,Pharmaceuticals Companies,1
BALRAMCHIN,Sugar Companies,1
BALUFORGE,Castings & Forgings Companies,1
BANARBEADS,"Diamond, Gems and Jewellery Companies",1
BANARISUG,Sugar Companies,1
BANCOINDIA,Auto Components & Equipments Companies,1
BANDHANBNK,Private Sector Bank Companies,1
BANG,Textiles Companies,1
BANKA,Waste Management Companies,0
BANKBARODA,Public Sector Bank Companies,1
BANKINDIA,Public Sector Bank Companies,1
BANSALWIRE,Iron & Steel Products Companies,1
BANSWRAS,Textiles Companies,1
BASF,Specialty Chemicals Companies,1
BASILIC,Media & Entertainment Companies,0
BASML,Textiles Companies,0
BATAINDIA,Footwear Companies,1
BAWEJA,"Film Production, Distribution & Exhibition Companies",0
BAYERCROP,Pesticides & Agrochemicals Companies,1
BBL,Other Electrical Equipment Companies,1
BBOX,IT Enabled Services Companies,1
BBTC,Packaged Foods Companies,1
BBTCL,Packaging Companies,1
BCG,IT Enabled Services Companies,1
BCLIND,Breweries & Distilleries Companies,1
BCONCEPTS,Speciality Retail Companies,1
BCP,Cables - Electricals Companies,0
BCPL,Civil Construction Companies,1
BDL,Aerospace & Defense Companies,1
BEACON,"Depositories, Clearing Houses and Other Intermediaries Companies",0
BEARDSELL,Industrial Machinery Companies,1
BECTORFOOD,Packaged Foods Companies,1
BEDMUTHA,Iron & Steel Companies,1
BEL,Aerospace & Defense Companies,1
BELDING,Aluminium Companies,0
BELLACASA,Garments & Apparels Companies,1
BELRISE,Auto Components & Equipments Companies,1
BEML,Construction Vehicles Companies,1
BENARAS,Hotels & Resorts Companies,0
BENGALASM,Investment Company Companies,1
BEPL,Speciality Chemical Companies,1
BERGEPAINT,Paints Companies,1
BESTAGRO,Pesticides & Agrochemicals Companies,1
BETA,Pharmaceuticals Companies,1
BFINVEST,Holding Company Companies,1
BFUTILITIE,"Road AssetsToll, Annuity, Hybrid-Annuity Companies",1
BGDL,Trading & Distributors Companies,0
BGLOBAL,IT Consulting & Software Companies,0
BGRENERGY,Civil Construction Companies,0
BHADORA,Cables - Electricals Companies,0
BHAGCHEM,Pesticides & Agrochemicals Companies,1
BHAGERIA,Dyes And Pigments Companies,0
BHAGYANGR,Copper Companies,0
BHANDARI,Textiles Companies,0
BHARATCOAL,Coal Companies,1
BHARATFORG,Auto Components & Equipments Companies,1
BHARATGEAR,Auto Components & Equipments Companies,0
BHARATRAS,Pesticides & Agrochemicals Companies,1
BHARATSE,Auto Components & Equipments Companies,1
BHARATWIRE,Iron & Steel Companies,1
BHARTIARTL,Telecom - Cellular & Fixed line services Companies,1
BHARTIHEXA,Telecom - Cellular & Fixed line services Companies,1
BHEL,Heavy Electrical Equipment Companies,1
BIGBLOC,Other Construction Materials Companies,1
BIKAJI,Packaged Foods Companies,1
BIKEWO,Auto Dealer Companies,0
BIL,Leather And Leather Products Companies,1
BILVYAPAR,Holding Company Companies,0
BIOCON,Pharmaceuticals Companies,1
BIOFILCHEM,Pharmaceuticals Companies,1
BIRDYS,Restaurants Companies,0
BIRET,Real Estate Investment Trusts (REITs) Companies,0
BIRLACABLE,Telecom -  Equipment & Accessories Companies,0
BIRLACORPN,Cement & Cement Products Companies,1
BIRLAMONEY,Stockbroking & Allied Companies,1
BIRLANU,"Furniture, Home Furnishing Companies",1
BKMINDST,Packaging Companies,0
BLACKBUCK,Transport Related Services Companies,1
BLAL,Investment Company Companies,1
BLBLIMITED,Stock Broking Companies,1
BLIL,Investment Company Companies,1
BLISSGVS,Pharmaceuticals Companies,0
BLKASHYAP,Civil Construction Companies,1
BLS,"Tour, Travel Related Services Companies",1
BLSE,IT Enabled Services Companies,1
BLUECHIP,Non Banking Financial Company (NBFC) Companies,0
BLUECLOUDS,Computers - Software & Consulting Companies,0
BLUECOAST,Hotels & Resorts Companies,0
BLUEDART,Logistics Solution Provider Companies,1
BLUEJET,Pharmaceuticals Companies,1
BLUEPEBBLE,Other Consumer Services Companies,0
BLUESTARCO,Household Appliances Companies,1
BLUESTONE,"Gems, Jewellery And Watches Companies",1
BLUSPRING,Diversified Commercial Services Companies,1
BMW,Iron & Steel Products Companies,0
BMWVENTLTD,Trading - Metals Companies,1
BNAGROCHEM,Trading & Distributors Companies,0
BODALCHEM,Dyes And Pigments Companies,0
BOHRAIND,Pesticides & Agrochemicals Companies,1
BOMDYEING,Other Textile Products Companies,1
BONDADA,Telecom - Infrastructure Companies,0
BONLON,Diversified Metals Companies,1
BORANA,Textiles Companies,1
BOROLTD,Houseware Companies,1
BORORENEW,Glass - Industrial Companies,1
BOROSCI,Glass - Industrial Companies,1
BOSCH-HCIL,Household Appliances Companies,1
BOSCHLTD,Auto Components & Equipments Companies,1
BPAGRI,Trading & Distributors Companies,0
BPCL,Refineries & Marketing Companies,1
BPL,Consumer Electronics Companies,1
BRANDMAN,Footwear Companies,0
BRIGADE,"Residential, Commercial Projects Companies",1
BRIGHOTEL,Hotels & Resorts Companies,1
BRITANNIA,Packaged Foods Companies,1
BRNL,Civil Construction Companies,1
BROOKS,Pharmaceuticals Companies,0
BSE,Exchange and Data Platform Companies,1
BSHSL,Other Agricultural Products Companies,0
BSL,Textiles Companies,1
BSOFT,Computers - Software & Consulting Companies,1
BTML,Digital Entertainment Companies,1
BUILDPRO,Speciality Retail Companies,1
BURNPUR,Cement & Cement Products Companies,0
BUTTERFLY,Household Appliances Companies,1
BVCL,Cement & Cement Products Companies,1
BYKE,Hotels & Resorts Companies,0
C2C,Aerospace & Defense Companies,0
CADSYS,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO) Companies,0
CALSOFT,IT Consulting & Software Companies,0
